//MitarbeiterAktivitätstypen
UNDEFINED_SA;
TRAVELING_SA;Wegzeit
NETWORKING_SA;Information/Beratung
QUALIFICATION_SA;Qualifizierung
ORGANIZATION_SA;Organisation
