// von connexia (Hebenstreit Martin, 27.11.2018)

DGKP;Gehobener Dienst für Gesundheits- und Krankenpflege
DSB;Diplom-Sozialbetreuer
FSB;Fach-Sozialbetreuer
PFA;Pflegefachassistent
PA;Pflegeassistent
HH;Heimhilfe
AZB;Auszubildende
